RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023
395144,626,"Tahlequah, OK",msa,OK,,,,,,,,,,,,,,105917,109333,118450,126033,131950,130500,132667,134000,138167,145667,144667,135917,135083,131917,137500,142500,154333,164333,162250,162917,168417,166417,161583,157083,159500,169333,171667,177500,168750,168083,165583,172250,167883,159633,160717,169050,182300,178300,166667,175833,181417,201417,190583,186667,179250,173750,175050,170967,175967,173417,181250,194583,218833
394739,627,"Kendallville, IN",msa,IN,,118644,119810,125000,122400,123183,130833,136100,136983,132000,128621,132621,132371,134750,128917,128000,128000,140000,145583,147417,141483,138733,141680,144780,144747,143967,139217,142583,140917,140000,135833,137500,144000,151500,156417,152233,147200,144117,149767,161633,175767,176767,179933,174800,178917,178917,179250,182667,177750,179750,175583,179000,176167,182800,188217,183883,188292,183342,191675,184800,179817,176483,179317,183667,192317,205317
394876,628,"Montrose, CO",msa,CO,228708,229042,224333,233750,240817,248617,248200,253633,242833,239833,246633,247967,243717,232917,236917,243833,250333,254417,261917,266083,272400,273567,275567,271500,264333,272333,269000,279833,266500,276500,276233,284233,289217,299650,321617,332467,355467,341333,352167,364167,396667,396333,393833,387333,414333,408500,418333,428333,444567,446550,441717,443800,460983,467417,467433,447933,429667,426500,432500,410817,403983,398317,418333,437900,441733,449067
394504,629,"Cortland, NY",msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170000,166333,156667
394887,630,"Mount Sterling, KY",msa,KY,91667,92667,97267,103933,107600,99467,107050,104717,124083,125750,127667,108667,106667,104667,119833,116417,123167,114667,125667,131650,143317,139983,127250,117917,117750,120467,132300,138133,144000,136000,134250,131583,128750,126667,131833,142500,146667,138333,134333,138333,161667,163150,163150,156483,156667,164583,162083,178917,169317,171817,163283,163800,167133,169900,181400,185467,186050,182383,180983,178233,173233,166650,168567,180233,178267,182450
394477,631,"Clinton, IA",msa,IA,88083,99417,97500,109583,103500,106333,99333,102000,104750,110583,109917,98500,91000,101917,107083,109417,102250,113667,115333,118833,119417,120417,117167,122333,114833,105417,91917,105250,113667,120167,115250,120583,125250,130250,120083,115000,114917,108417,101833,99000,109633,120767,127433,135133,139000,131000,135000,124333,130667,135667,135333,135667,135500,146800,164967,156800,154417,148583,149833,145250,136250,131000,130833,137167,147583,158417
753865,633,"Bardstown, KY",msa,KY,142833,142333,139667,139650,137983,145977,148560,150227,153867,155117,163450,155067,152250,145583,148000,151500,156467,159800,160633,162133,166283,167933,171967,172150,167667,161650,160150,162483,171067,179200,187183,189950,187067,187917,192083,192667,194667,192833,203667,197917,204717,205750,214167,207508,212383,218550,226575,224667,226167,227498,225039,230673,238842,242133,248000,245500,245483,234133,227133,228650,227000,232333,224833,233833,241583,254217
395201,634,"Wapakoneta, OH",msa,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164417,170250,174583,176333
394987,635,"Plymouth, IN",msa,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212500,211667,217900,233900
394379,637,"Bemidji, MN",msa,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221967,191050,213750,228750
