RegionID,SizeRank,RegionName,RegionType,StateName,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023
394369,380,"Bay City, MI",msa,MI,86800.0,82967.0,83450.0,82467.0,93496.0,94679.0,98147.0,91118.0,92751.0,90633.0,94117.0,93717.0,90000.0,84150.0,88017.0,98367.0,105067.0,106300.0,104683.0,104598.0,102248.0,97798.0,91883.0,88500.0,89933.0,95933.0,101667.0,105333.0,104333.0,110167.0,107833.0,114600.0,109767.0,107433.0,101833.0,102833.0,114467.0,119267.0,122750.0,121083.0,125617.0,127250.0,127283.0,127450.0,123667.0,121333.0,117667.0,122667.0,123667.0,132667.0,134500.0,138000.0,132833.0,133667.0,141500.0,144333.0,142667.0,133817.0,130300.0,126933.0,129083.0,128433.0,131617.0,137317
394599,381,"Fond du Lac, WI",msa,WI,145833.0,135583.0,133917.0,135583.0,134000.0,140750.0,143750.0,147583.0,140833.0,142900.0,143367.0,148267.0,140517.0,138050.0,141217.0,146900.0,152400.0,144000.0,145667.0,146667.0,153000.0,146633.0,139950.0,135617.0,139733.0,140417.0,148400.0,149317.0,154733.0,151167.0,156467.0,163050.0,161967.0,157650.0,151650.0,163067.0,162083.0,168500.0,164533.0,178200.0,179450.0,175500.0,170167.0,166667.0,173167.0,173000.0,178250.0,171583.0,172417.0,168333.0,179500.0,181167.0,187917.0,187250.0,195083.0,200667.0,206817.0,197817.0,197483.0,193833.0,194000.0,202700.0,203867.0,230867
394630,382,"Gettysburg, PA",msa,PA,168408.0,181092.0,189458.0,192667.0,199667.0,200667.0,205483.0,201817.0,204967.0,198817.0,197567.0,188417.0,188050.0,184800.0,195550.0,203667.0,209833.0,210750.0,217000.0,217000.0,218667.0,208333.0,216633.0,209967.0,216200.0,213733.0,218733.0,216917.0,217750.0,221250.0,223500.0,226833.0,228333.0,227000.0,226667.0,228750.0,238083.0,241417.0,238667.0,244783.0,243450.0,252450.0,248333.0,252500.0,257467.0,257117.0,249617.0,246317.0,243333.0,260000.0,266667.0,276633.0,279967.0,276600.0,271633.0,258633.0,253667.0,245333.0,240333.0,240333.0,252000.0,260000.0,274150.0,283150
394733,384,"Kalispell, MT",msa,MT,279667.0,284667.0,300667.0,312483.0,310817.0,321900.0,314517.0,316183.0,324100.0,333000.0,334167.0,315500.0,318750.0,312583.0,326392.0,327975.0,338808.0,327667.0,332833.0,342167.0,341833.0,337650.0,325817.0,339150.0,341333.0,349633.0,355050.0,351517.0,368183.0,389100.0,425300.0,443667.0,451500.0,433167.0,416167.0,412667.0,443500.0,493583.0,519583.0,538833.0,527417.0,539083.0,542417.0,557417.0,550750.0,566667.0,571667.0,575334.0,561667.0,588250.0,613083.0,652083.0,632167.0,622000.0,581667.0,564167.0,577500.0,572833.0,557000.0,533667.0,551667.0,566667.0,573333.0,583333
394823,386,"Mankato, MN",msa,MN,184967.0,178867.0,180883.0,180883.0,185333.0,196667.0,198333.0,200000.0,187133.0,187800.0,183967.0,195750.0,191167.0,197667.0,207050.0,218133.0,219800.0,214083.0,212067.0,204650.0,195733.0,198917.0,200333.0,200817.0,188567.0,200733.0,214917.0,229600.0,229100.0,230767.0,228333.0,231667.0,228300.0,229967.0,227733.0,224433.0,222767.0,222667.0,222500.0,230950.0,233283.0,240617.0,229667.0,233417.0,228750.0,231550.0,223133.0,215967.0,219333.0,227333.0,243833.0,249983.0,252725.0,248792.0,249934.0,243359.0,242125.0,230500.0,219167.0,208917.0,228250.0,235750.0,253833.0,257600
394794,387,"Lima, OH",msa,OH,92133.0,89800.0,98633.0,107250.0,106250.0,103900.0,106783.0,116533.0,120217.0,113583.0,103500.0,106833.0,113500.0,113167.0,111042.0,111708.0,114375.0,113167.0,106333.0,111000.0,113833.0,115167.0,109500.0,111000.0,119300.0,127750.0,128666.0,124700.0,126667.0,128083.0,127083.0,130400.0,131317.0,139650.0,131583.0,134317.0,127617.0,133283.0,134400.0,138600.0,142600.0,144500.0,143833.0,143500.0,140967.0,144100.0,142217.0,136583.0,131783.0,135333.0,146167.0,156000.0,160233.0,158061.0,156061.0,158494.0,157500.0,149833.0,136167.0,145000.0,149233.0,151567.0,149767.0,154033
753915,388,"Salem, OH",msa,OH,95833.0,102800.0,103500.0,115817.0,122650.0,112817.0,112583.0,111000.0,115650.0,111233.0,106600.0,112617.0,106334.0,105717.0,103384.0,112250.0,111167.0,111400.0,111300.0,112383.0,106567.0,104250.0,100583.0,95933.0,99583.0,99883.0,106617.0,103967.0,112167.0,117833.0,121500.0,121000.0,119250.0,120417.0,113083.0,105167.0,105000.0,109667.0,122000.0,126750.0,139250.0,141833.0,139250.0,135083.0,127483.0,123983.0,121450.0,121333.0,111083.0,112450.0,122083.0,137333.0,145167.0,153333.0,152550.0,153717.0,140050.0,136417.0,127583.0,121467.0,119217.0,118550.0,134150.0,141483
395166,389,"Truckee, CA",msa,CA,423333.0,431667.0,445333.0,463333.0,473500.0,474833.0,471500.0,473167.0,475667.0,446000.0,429167.0,434333.0,443333.0,461667.0,442333.0,447500.0,452500.0,469167.0,464333.0,464333.0,467167.0,474500.0,462833.0,452667.0,452667.0,457667.0,452333.0,464000.0,497667.0,533667.0,565333.0,570667.0,580667.0,570333.0,558000.0,549667.0,561667.0,569667.0,588833.0,591333.0,616667.0,632500.0,654000.0,633667.0,625833.0,596833.0,600500.0,576667.0,582083.0,601917.0,615083.0,636333.0,630167.0,633667.0,622833.0,601500.0,606500.0,600333.0,572333.0,541000.0,517833.0,537500.0,557000.0,602667
395080,390,"Sebring, FL",msa,FL,129167.0,131167.0,133667.0,135096.0,135730.0,134396.0,132967.0,135333.0,137333.0,138333.0,138300.0,136967.0,135633.0,135667.0,139667.0,142667.0,147000.0,147667.0,151667.0,145667.0,149167.0,149167.0,153900.0,153067.0,151383.0,151650.0,153317.0,157000.0,165333.0,166967.0,170800.0,167767.0,170100.0,167600.0,170550.0,170083.0,171300.0,171550.0,182050.0,189167.0,199417.0,195750.0,197417.0,192000.0,194583.0,203583.0,206750.0,214833.0,217500.0,227667.0,236667.0,238667.0,242000.0,237000.0,236667.0,233333.0,232083.0,227083.0,223317.0,225000.0,231667.0,242067.0,244617.0,242533
394462,391,"Cheyenne, WY",msa,WY,230833.0,229917.0,239583.0,244750.0,247333.0,244333.0,247500.0,247500.0,246667.0,244667.0,245333.0,248633.0,248300.0,252633.0,254300.0,260300.0,262633.0,265750.0,267083.0,267250.0,265667.0,262317.0,256817.0,261150.0,267833.0,277917.0,281020.0,279353.0,282103.0,286333.0,287000.0,287166.0,287333.0,288250.0,286583.0,286170.0,292920.0,305253.0,306750.0,311750.0,314083.0,326333.0,334667.0,337100.0,335433.0,327100.0,323417.0,320083.0,331750.0,345667.0,359000.0,363667.0,359667.0,356317.0,350150.0,338483.0,341833.0,335000.0,339917.0,336010.0,336010.0,336094.0,336667.0,351667
